CLM_NBR, CLM_BR_NBR_OLD, CLM_BR_NBR_NEW
387534070,  27415702, 28832930
387534069,  26243285, 28832927
387534068,  26715062, 28832925
387534067,  27522090, 28832921
387534066,  26742537, 28832920
387534065,  26243418, 28832917
387534062,  27260767, 28832915
387534064,  26739333, 28832913
387534063,  26426590, 28832914
387534061,  26747409, 28832912
387534079,  26487227, 28832951
387534090,  27471147, 28832970
387534089,  27427292, 28832971
387534088,  27098430, 28832968
387534086,  27448173, 28832967
387534087,  27477661, 28832969
387534085,  27318307, 28832965
387534084,  27132808, 28832960
387534083,  27168555, 28832958
387534082,  26954007, 28832957
387534081,  26530299, 28832956
387534080,  26531135, 28832953
387534091,  27537161, 28832973
387534093,  28821125, 28832976
387534097,  27471992, 28832979
387534094,  27139078, 28832977
387534098,  27537387, 28832980
387534104,  27539752, 28832995
387534103,  27348009, 28832993
387534102,  27550098, 28832991
387534101,  26699252, 28832989
387534100,  28821340, 28832988
387534099,  27625250, 28832987
387534105,  27322316, 28832996
387534109,  27701703, 28833003
387534107,  26473348, 28833001
387534106,  27158310, 28832999
387534116,  28013028, 28833021
387534115,  27571755, 28833019
387534114,  28119705, 28833016
387534113,  27546362, 28833011
387534112,  27549634, 28833009
387534111,  27585872, 28833008
387534110,  27167013, 28833006
387534108,  27524923, 28833002
387534133,  27289654, 28833056
387534117,  27686913, 28833025
387534118,  27637216, 28833026
387534119,  27382336, 28833027
387534122,  27156988, 28833028
387534164,  27498351, 28833103
387534163,  27485908, 28833102
387534162,  26598477, 28833100
387534159,  27484032, 28833096
387534158,  27422050, 28833095
387534123,  27474863, 28833029
387534124,  27722400, 28833034
387534157,  27617829, 28833092
387534155,  27470517, 28833090
387534154,  27612634, 28833089
387534153,  27520692, 28833086
387534152,  26839718, 28833085
387534126,  27911703, 28833035
387534151,  27219710, 28833084
387534150,  27561817, 28833079
387534127,  27106849, 28833038
387534128,  27392653, 28833041
387534149,  27542339, 28833078
387534148,  26781397, 28833077
387534146,  27502675, 28833076
387534144,  27563046, 28833075
387534142,  27410049, 28833069
387534141,  27621156, 28833070
387534140,  26022711, 28833066
387534139,  27021916, 28833067
387534138,  27532875, 28833062
387534129,  27295867, 28833043
387534136,  27663844, 28833061
387534130,  27403887, 28833046
387534135,  26637167, 28833059
387534131,  27901898, 28833054
387534134,  27303348, 28833057
387534178,  27660743, 28833129
387534166,  28273725, 28833112
387534165,  27980390, 28833111
387534167,  28059569, 28833113
387534210,  26696360, 28833186
387534209,  27616079, 28833185
387534208,  27305814, 28833183
387534207,  27663178, 28833180
387534206,  27233101, 28833179
387534205,  27477527, 28833178
387534176,  27627541, 28833125
387534204,  27342664, 28833177
387534202,  25453073, 28833176
387534200,  27341938, 28833174
387534199,  25748574, 28833173
387534197,  28649899, 28833168
387534196,  27361573, 28833166
387534168,  26284683, 28833116
387534195,  27234900, 28833165
387534194,  27229845, 28833162
387534193,  27622323, 28833161
387534192,  27009013, 28833157
387534191,  27615516, 28833156
387534169,  27283175, 28833118
387534190,  26691564, 28833154
387534189,  27131052, 28833152
387534186,  26213933, 28833148
387534185,  27565916, 28833147
387534184,  27700606, 28833146
387534182,  26685314, 28833139
387534172,  27462175, 28833119
387534181,  25650776, 28833140
387534180,  27274760, 28833135
387534175,  27471338, 28833121
387534179,  27565057, 28833134
387534177,  27690835, 28833127
387534213,  26265859, 28833188
387534216,  27706026, 28833195
387339078,  28579323, 28833153
387534221,  27572960, 28833208
387534220,  27616575, 28833207
387534219,  27506475, 28833202
387534218,  27467374, 28833200
387534217,  25235184, 28833198
387534222,  27481468, 28833209
387534223,  27656850, 28833210
387534227,  27375009, 28833211
387534229,  27645240, 28833214
387534228,  27213228, 28833212
387329184,  28558340, 28833543
387535187,  27918210, 28834736
387329186,  28558342, 28834244
387535127,  27550843, 28834651
387339088,  28579346, 28835228
387329182,  28558338, 28834105
387536177,  28836404, 28836620
387180206,  26666233, 28837117
387536218,          , 28836934
387180220,  28652565, 28837563
387537195,          , 25028759
387538162,  28837042, 28840009
387218181,  28398423, 28842270
387189220,  27794150, 28842785
387539067,          , 25131240
387539142,          , 28844187
387218183,  28398424, 25375446
387355080,  28648713, 28848497
385868114,  23944298, 28867110
387444078,  28729786, 28868889
387431188,  28698270, 28871090
385850041,  24739971, 24738538
387540136,          , 28314089
387218111,  28398306, 28881995
387218118,  28398316, 28884794
387358118,  28614876, 28885827
385807035,  27420240, 28890728
385807049,  27420316, 28891247
385807111,  26355809, 28891751
387463074,  28766617, 28892944
385759109,  27424280, 28893341
387541039,          , 28893468
387541040,  22764246, 28893560
387463076,  28766621, 28893872
387541040,  28893560, 28893930
387541041,  28893751, 28893828
387541042,          , 28355825
387541043,  20874387, 28894650
387186081,  28327418, 28895223
387186077,  28327415, 28895526
387541044,          , 26915438
387186095,  28327425, 28895649
387541046,  24190082, 28895626
387186091,  28327421, 28895841
387541045,  28891367, 28895641
387186096,  28327426, 28896037
387541047,  26798097, 28896365
387225207,  28412341, 27087747
387541048,          , 28896735
387463078,  28766624, 28893872
387541049,  28155606, 28897305
387541050,          , 28898474
387225221,  28412371, 26393486
387541052,          , 28898621
387541051,  28898232, 28898339
387541053,          , 28898823
387541054,          , 28899512
387225213,  28412358, 27071062
387541055,  25734522, 28899831
387499022,  27248971, 28879868
387541056,  25944214, 28901027
387541057,  28899831, 28901209
387225222,  28412372, 28901239
387541058,          , 28901358
387541056,  28901027, 28901664
387541059,  95161874, 28901611
387541060,          , 28901995
387186113,  28327438, 28902482
387186124,  28327446, 28902510
387541061,  95161874, 28902353
387186131,  28327450, 28902571
387541063,  26915916, 28902683
387541062,          , 28902632
387186169,  28089041, 28903248
387186119,  28327442, 28903417
387186144,  28327463, 28903600
387186175,  28327491, 28903513
387541064,          , 28903015
387186185,  28327494, 28903884
387186181,  28494597, 28903875
387186178,  27280121, 28903591
387186117,  28327440, 28904316
387186104,  28327432, 28904480
387541065,  22296016, 28904590
387541066,  28904439, 28904438
387541154,          , 28905308
385596136,  28385468, 28907562
387541219,  27740146, 28905614
387542034,          , 28907709
387542054,  15320012, 28907822
387542090,  28794526, 28907760
387542190,  27381267, 28908114
387542189,  27785678, 28908111
387542183,  27508655, 28908102
387542191,  27516219, 28908121
387225217,  28412367, 27053044
387542090,  28907760, 28908362
387543022,          , 28910141
387543095,          , 27648077
387543180,  95173408, 28910492
387225191,  28412320, 26129141
387543180,  28910492, 28910665
387348223,  28598004, 28911212
387218102,  28398284, 28911349
387544033,  27973227, 28912146
387544169,  28772295, 28912373
387545000,  27324539, 28914185
387545135,  26783711, 28914393
387545062,  22360127, 28914275
387545066,  24186998, 28914283
387545103,  28865775, 28914331
387545157,  26577999, 28914434
387545154,  26731355, 28914428
387545153,  26732323, 28914427
387545119,  26613913, 28914361
387349109,  28599720, 28914640
387458138,  28758887, 28914767
387349164,  28599801, 28915292
387546063,  28885623, 28915985
387546075,  28872024, 28915998
387546178,  62920207, 28916170
387546168,  28885934, 28916156
387547019,  28727791, 28917258
387547018,  28893963, 00000000
387547162,          , 28917344
387547138,  28897484, 28917385
387532130,  28784743, 28917587
387140160,  28303778, 28917934
387532130,  28917587, 28917908
387548000,          , 28918302
387140172,  28303786, 28918748
387140185,  28303815, 28919332
387549229,          , 28919615
387549202,          , 28919607
387140197,  28303834, 28919798
387550018,          , 28920473
387458128,  28758871, 28920227
387430088,  28665134, 28920811
387550192,          , 28920627
387550166,          , 28920454
387452099,  28198087, 28921098
387551044,  15588714, 28921739
387551095,  51911789, 28921825
387551107,  92775914, 28921850
387551111,  28535061, 28921860
387551185,  27124522, 28921967
387140196,  28303831, 28922356
385952110,  24070044, 28922799
387225219,  28412369, 26393876
385927184,  25354372, 28922918
387458150,  28758908, 28923514
387369071,  28632059, 28925116
387554078,  28242970, 28925095
387140208,  28303855, 28926169
387140205,  28303848, 28925765
387349087,  28599686, 28927059
387218100,  28825390, 28926892
387140210,  28303859, 28927460
387369112,  28632107, 28927508
387369126,  28632116, 28927690
387140210,  28927460, 28927595
387369109,  28632101, 28927568
387369119,  28632112, 28927782
387349087,  28927059, 28927739
387369133,  28632123, 28927842
387369147,  28632146, 28927977
387369146,  28632145, 28928268
387369182,  28632204, 28928408
387140192,  28303823, 28928173
387369190,  28632217, 28928547
387557101,          , 28928292
387560003,  28931141, 28931303
385982025,  26336745, 28933147
385982024,  26298085, 28932992
387369201,  28632238, 28933490
387369217,  28632258, 28933650
387369208,  28632246, 28933986
387369220,  28632263, 28933904
385982055,  26316817, 28933902
385982051,  26236898, 28933660
387369228,  28632275, 28934063
387369208,  28933986, 28934550
385982095,  26184637, 28934377
385982092,  24340445, 28934166
387565214,          , 28935924
387225208,  28412342, 27078067
387458098,  28758831, 28936554
387567075,          , 28937618
387458160,  28758914, 27851372
387223221,  28408500, 28938505
387223227,  28408519, 28938478
387223225,  28408510, 28938453
387223226,  28408512, 28938404
387569118,  28913426, 28939096
387569003,  28909462, 28939027
387458110,  28758849, 28939465
387569204,  28913873, 28939146
387570056,  28928487, 28939704
387349200,  28599857, 28939881
387570216,  28928190, 28939829
387349214,  28599876, 28940109
387260201,  28476084, 28940861
387260211,  28476096, 28940865
387573220,  28899817, 28941672
387260216,  28312691, 28941202
387260229,  28476118, 28941796
387260222,  28476112, 28942341
385982131,  26275685, 28943635
385982154,  26345813, 28944144
385982152,  26258455, 28944104
385982142,  26353215, 28944137
385982155,  26334657, 28944240
387581142,          , 28945538
385987004,  26346497, 28945562
387338140,  28577549, 28945896
387338158,  28577587, 28946193
387338162,  28577599, 28946319
387338163,  28577601, 28946455
387338171,  28577619, 28946488
387583047,          , 28946497
387338175,  28577627, 28946544
387338164,  28577602, 28946480
387338176,  28577630, 28946606
387338185,  28577640, 28946633
387338165,  28577607, 28946613
387338179,  28577634, 28946642
387338198,  28577661, 28946703
387583047,  28946497, 28946693
387338173,  28577623, 28946813
387338208,  28577671, 28947213
385987079,  26233018, 28947653
385987076,  26343258, 28947637
385987075,  26319829, 28947467
387585154,  98750911, 28947408
385987090,  26269723, 28948027
387587054,          , 24471969
385982210,  26302773, 28948135
387587089,          , 28948173
387587090,  28305833, 28948198
387587221,  25861730, 28948245
387587207,  28307649, 28948241
385987115,  26237688, 28950075
387593074,  28936830, 28950301
387417145,  27601183, 27601369
385975197,  24789096, 28950688
387371070,  28634626, 28950875
387371101,  28634663, 28951373
387371110,  28634673, 28951407
387598028,  26468417, 28951630
387598070,  28174999, 28951643
387598124,  28658236, 28951656
387371168,  28634726, 25981805
387371187,  28634754, 25645325
387371195,  28634765, 25375413
387603049,  26167911, 28952100
387603042,  26165659, 28952098
387603019,  28662886, 28952091
387603133,  28672430, 28952117
387603174,  27714293, 28952123
387603183,  28159160, 28952126
387371204,  28634768, 25949562
387371224,  28634784, 25959179
387371215,  28634780, 25478457
387371229,  28634789, 25763883
387371226,  28634788, 28952235
387541034,  00000000, 28952687
387541145,  00000000, 28952688
387544108,  26460887, 28952699
387543019,  26475049, 28952700
387520039,  26649137, 28952704
387552142,  26672674, 28952705
387520118,  26677450, 28952708
387520111,  26774997, 28952710
387520193,  26916654, 28952713
387520117,  26961463, 28952714
387520171,  27337456, 28952738
387520196,  27379642, 28952742
387524108,  28814088, 28952781
387598089,  28714666, 28952772
387603224,  28633430, 28952766
387552158,  27637947, 28952751
387520136,  27437414, 28952746
387517180,  27394753, 28952744
387618068,  28949034, 28953406
387618083,  28948122, 28953407
387369206,  28632241, 28953713
387451034,  28746285, 24695942
385986003,  26245639, 28954020
385986006,  26315935, 28954050
387151190,  28317483, 27990810
387151191,  28317484, 28954320
387151187,  28317480, 28093471
387151199,  28317491, 28954339
387151171,  28321166, 27222816
387151192,  28317486, 28954372
387151206,  28317495, 28954611
387151210,  28317499, 28954619
387151220,  28317504, 28954630
387151214,  28317502, 28097804
387151200,  28317492, 28954628
387151223,  28106318, 28954647
387151221,  28317505, 28954650
387151200,  28954628, 28954651
387151208,  28317496, 28065828
387151216,  28317503, 27697132
387452181,  24969167, 28954714
387151227,  28317509, 28954711
387151200,  28954651, 28954686
387151212,  28317501, 28097672
385986136,  26252498, 28955177
387366094,  28628598, 28955360
385986144,  26342345, 28955396
387450000,  28744363, 28955400
387366110,  28628611, 28955621
387366179,  28628670, 28955771
385986164,  26254682, 28955726
387366151,  28628650, 28955681
387366137,  27465624, 28955788
387366189,  28628686, 28955836
387366195,  28628690, 28955872
387366182,  28628674, 28955873
385986176,  26182165, 28955995
385986177,  24326280, 28955972
385986176,  28955995, 28956031
387366170,  28628660, 28956122
387366217,  28628720, 28956166
387366220,  28628723, 28956199
387244106,  28494425, 28957097
387450042,  28744443, 28957728
387545204,  28914519, 28957921
387349101,  28599709, 28958076
387229080,  28420194, 28958443
387229103,  26746343, 28958511
387229150,  28420323, 28958573
387452047,  28748026, 28958683
387229173,  28420368, 28958684
387229169,  28420360, 28958707
387620014,  28038783, 28959279
387620013,  27065318, 28959280
387620012,  26162156, 28959277
387620011,  27986635, 28959276
387620010,  26862321, 28959274
387620009,  28287213, 28959273
387620008,  27303630, 28959272
387620007,  28197934, 28959251
387620006,  26474123, 28959269
387620005,  28265626, 28959267
387620004,  27467243, 28959264
387620003,  27557632, 28959265
387620002,  28294986, 28959263
387620000,  26576820, 28959261
387620001,  28244922, 28959262
387362087,  28623208, 28959165
387620016,  28103312, 28959282
387620022,  27250277, 28959288
387620021,  27180343, 28959287
387620020,  28236233, 28959283
387620019,  26834276, 28959286
387620018,  25306984, 28959285
387620017,  27241669, 28959284
387620030,  26463975, 28959299
387620029,  26985562, 28959296
387620028,  27067728, 28959294
387620027,  26866782, 28959293
387620026,  27072851, 28959292
387620024,  27137761, 28959290
387620025,  26610631, 28959291
387620023,  25637773, 28959289
387620015,  26596660, 28959278
387620031,  25683309, 28959297
387620061,  26083338, 28959331
387620058,  28210557, 28959327
387620059,  28198920, 28959328
387620057,  27464413, 28959326
387620056,  27721731, 28959325
387620055,  27105109, 28959324
387620054,  26669494, 28959323
387620053,  27868741, 28959322
387620052,  28017527, 28959320
387620051,  27530220, 28959318
387620050,  26784673, 28959314
387620049,  27570750, 28959319
387620048,  27877605, 28959316
387620047,  27719876, 28959315
387620046,  28186367, 28959312
387620045,  28372391, 28959313
387620044,  28818185, 28959311
387620043,  27747221, 28959310
387620042,  26247042, 28959309
387620041,  28817507, 28959308
387620040,  27242201, 28959307
387620039,  28248966, 28959305
387620038,  28087064, 28959306
387620037,  28087407, 28959304
387620036,  26836955, 28959302
387620035,  24585252, 28959303
387620034,  27070531, 28959298
387620033,  28038268, 28959301
387620032,  27173471, 28959300
387620090,  27816022, 28959362
387620089,  28062265, 28959361
387620088,  28266150, 28959360
387620087,  27332523, 28959358
387620086,  27792767, 28959356
387620085,  27404453, 28959357
387620084,  27781630, 28959354
